rank,team,score
1,Isaiah @ Tufa Labs,1863.8
2,Hober Malloc,1803.2
3,Jake Will,1767.9
4,TonyK,1741.0
5,Felix M Neumann,1726.6
6,Ender,1713.3
7,flg,1703.1
8,Audun Ljone Henriksen,1677.0
9,Xiangyu Liu,1672.1
10,Boey,1664.7
11,Luca,1635.0
12,Azat Akhtyamov,1629.9
13,M & J & M.ver2,1623.4
14,moriiiiiiiiim,1610.5
15,One Man Wrecking Machine,1600.0
16,dragon warrior,1586.1
17,Orbit Goblins,1571.9
18,Vadasz & Ascalon,1571.4
19,Slawek Biel,1566.2
20,213tubo,1553.1
21,Sheeesh---,1541.4
22,Gregor Lied,1534.0
23,vkhydras,1523.6
24,LuckyXC&me,1517.8
25,Alan C52,1515.7
26,Yuki Okumura,1515.7
27,Scool,1513.2
28,jonathan breitgand,1511.7
29,Nebraskinator,1498.3
30,Artem,1490.1
31,typeIIIfairy,1467.2
32,Tufaben,1465.5
33,This waiting will kill me!,1436.1
34,skalermo,1433.6
35,bowwowforeach,1427.4
36,kosmostars @ pseudolabeling,1412.4
37,Controlvector,1406.4
38,Dreame1,1390.8
39,CPMP,1388.4
40,unosss,1381.8
41,Roche Overflow,1374.5
42,CPMP Fan,1371.2
43,ma name,1365.4
44,Ebi,1355.0
45,CurveCowboy,1353.6
46,Luke Li,1342.4
47,Harm Buisman,1339.5
48,C404,1332.2
49,3Comets,1330.6
50,Mooegi,1317.7
